Italian          ,English,Part of Speech,IPA Pronunciation,Gender,Context,Synonyms,Example Sentence,Example Sentence English,Category,Deck Name,Deck GUID,Note GUID
altro,other; another,adjective,/ˈaltro/,N/A,Refers to something different or additional,diverso,Vuoi comprare un altro bicchiere di acqua per l'amico?,Do you want to buy another glass of water for the friend?,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,776900640366
amaro,bitter,adjective,/aˈmaro/,N/A,Describes a sharp or unpleasant taste; opposite of 'dolce',aspro,Questo caffè è troppo amaro e non mi piace bere.,This coffee is too bitter and I do not like drinking it.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,14915900149
amico,friend,noun,/aˈmiko/,masculine,A person with whom one has a bond of affection,compagno,Il mio amico viene a casa mia per mangiare insieme.,My friend comes to my house to eat together.,People,Italian::A1::Vocab::People,1054905778847,774655794668
amore,love,noun,/aˈmore/,masculine,A deep feeling of affection or romantic attachment,affetto,L'amore è bello e io amo la mia vita.,Love is beautiful and I love my life.,Emotions,Italian::A1::Vocab::Emotions,594297900417,952397761242
anche,also; too,adverb,/ˈanke/,N/A,Used to add information; means 'as well' or 'in addition',pure; inoltre,Anche il mio amico vuole venire al ballo con noi.,My friend also wants to come to the dance with us.,Common Words,Italian::A1::Vocab::Common Words,536995933597,433158458300
ancora,still; yet; again,adverb,/anˈkora/,N/A,Indicates continuation or repetition of an action,di nuovo; tuttora,Non capisco ancora bene e devo studiare di più.,I still do not understand well and I need to study more.,Common Words,Italian::A1::Vocab::Common Words,536995933597,821545519818
animale,animal,noun,/aniˈmale/,masculine,A living creature that is not a plant or human,bestia; creatura,Vedo un animale grande vicino all'albero nel giardino.,I see a big animal near the tree in the garden.,Animals,Italian::A1::Vocab::Animals,209387501967,982918371196
animale domestico,pet,noun,/aniˈmale doˈmɛstiko/,masculine,A tame animal kept in the home for companionship,N/A,Il mio animale domestico è un amico e lo amo.,My pet is a friend and I love it.,Animals,Italian::A1::Vocab::Animals,209387501967,1021002288995
anno,year,noun,/ˈanno/,masculine,A period of twelve months; a unit of time,N/A,Quest'anno voglio imparare a parlare bene l'italiano.,This year I want to learn to speak Italian well.,Time,Italian::A1::Vocab::Time,781073502550,689397281580
annoiato,bored,adjective,/annoˈjato/,N/A,Feeling weary from lack of interest or activity,stufo,Sono annoiato e non so cosa fare adesso a casa.,I am bored and I do not know what to do now at home.,Emotions,Italian::A1::Vocab::Emotions,594297900417,376685285215
aperto,open,adjective,/aˈpɛrto/,N/A,Not closed or blocked; accessible to enter or use,N/A,Il bar è aperto e posso entrare per prendere un caffè.,The bar is open and I can go in to get a coffee.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,569963084466
aprile,April,noun,/aˈprile/,masculine,The fourth month of the year; a spring month,N/A,In aprile piove molto e gli alberi sono belli.,In April it rains a lot and the trees are beautiful.,Time,Italian::A1::Vocab::Time,781073502550,286180916370
arancia,orange (fruit),noun,/aˈrantʃa/,feminine,A round citrus fruit with orange skin and sweet juice,agrume,Voglio mangiare un'arancia e bere un bicchiere di acqua.,I want to eat an orange and drink a glass of water.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,651070801117
arancione,orange (color),adjective,/aranˈtʃone/,N/A,The color between red and yellow; like an orange fruit,N/A,L'auto arancione è bella e la voglio comprare adesso.,The orange car is beautiful and I want to buy it now.,Colors,Italian::A1::Vocab::Colors,673869190564,741425140666
arrivederci,goodbye,interjection,/arrivedˈdertʃi/,N/A,A formal way to say farewell; literally 'until we see again',addio; ciao,Dico arrivederci al mio amico e parto per l'albergo.,I say goodbye to my friend and leave for the hotel.,Greetings,Italian::A1::Vocab::Greetings,1034816950214,364105161709
auto,car,noun,/ˈauto/,feminine,A motor vehicle used for transportation; short for 'automobile',macchina; automobile,Guido la mia auto per andare a lavorare ogni giorno.,I drive my car to go to work every day.,Transportation,Italian::A1::Vocab::Transportation,845656063355,126305239203
autobus,bus,noun,/ˈautobus/,masculine,A large vehicle for carrying many passengers on roads,pullman,Prendo l'autobus per arrivare alla banca in centro.,I take the bus to arrive at the bank downtown.,Transportation,Italian::A1::Vocab::Transportation,845656063355,741238993280
autunno,autumn; fall,noun,/auˈtunno/,masculine,The season between summer and winter; leaves change color,N/A,In autunno gli alberi cambiano colore e fa freddo.,In autumn the trees change color and it gets cold.,Time,Italian::A1::Vocab::Time,781073502550,959532778785
azzurro,light blue; sky blue,adjective,/adˈdzurro/,N/A,A shade of blue like the sky; also the Italian national color,celeste; blu,Il cielo è azzurro e voglio uscire a camminare adesso.,The sky is light blue and I want to go out walking now.,Colors,Italian::A1::Vocab::Colors,673869190564,1094374623891
bagno,bathroom,noun,/ˈbaɲɲo/,masculine,A room with a toilet and sink; also means 'bath',toilette; servizi,Il bagno è dentro la casa vicino alla camera da letto.,The bathroom is inside the house near the bedroom.,Home,Italian::A1::Vocab::Home,692027528045,789065772790
ballo,dance,noun,/ˈballo/,masculine,A social event or activity involving dancing,danza,Andiamo al ballo insieme con il mio amico stasera.,We go to the dance together with my friend tonight.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,377086595550
bambina,girl; child (f),noun,/bamˈbina/,feminine,A young female child,ragazzina,La bambina vuole mangiare una banana e bere acqua.,The girl wants to eat a banana and drink water.,People,Italian::A1::Vocab::People,1054905778847,397213255819
bambino,boy; child (m),noun,/bamˈbino/,masculine,A young male child,ragazzino,Il bambino è basso e gioca nel giardino con l'animale.,The boy is short and plays in the garden with the animal.,People,Italian::A1::Vocab::People,1054905778847,641415182797
banana,banana,noun,/baˈnana/,feminine,A long curved yellow fruit,N/A,Voglio comprare una banana e un'arancia al negozio.,I want to buy a banana and an orange at the shop.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,393466559370
banca,bank,noun,/ˈbaŋka/,feminine,A financial institution for money services,istituto di credito,Devo andare alla banca per pagare e prendere i soldi.,I need to go to the bank to pay and get the money.,Places,Italian::A1::Vocab::Places,439811229925,806313511091
bar,café; bar,noun,/ˈbar/,masculine,An Italian café where you can drink coffee or eat,caffetteria,Il bar è aperto e possiamo prendere un caffè insieme.,The bar is open and we can get a coffee together.,Places,Italian::A1::Vocab::Places,439811229925,361423325506
barba,beard,noun,/ˈbarba/,feminine,Facial hair growing on the chin and cheeks,N/A,L'uomo ha una barba lunga e capelli corti e biondi.,The man has a long beard and short blond hair.,Body,Italian::A1::Vocab::Body,315135916940,840247458678
barca,boat,noun,/ˈbarka/,feminine,A small vessel for traveling on water,battello; nave,Prendiamo la barca per andare al mare in estate.,We take the boat to go to the sea in summer.,Transportation,Italian::A1::Vocab::Transportation,845656063355,894995720709
basket,basketball,noun,/ˈbasket/,masculine,A sport played with a ball and two hoops,pallacanestro,Mi piace giocare a basket con gli amici nel parco.,I like to play basketball with friends in the park.,Sports,Italian::A1::Vocab::Sports,616396548408,791627692669
basso,short; low,adjective,/ˈbasso/,N/A,Describes low height of people or objects; opposite of 'alto',piccolo,Il bambino è basso ma l'albero è molto alto.,The child is short but the tree is very tall.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,394294363508
bello,beautiful; nice,adjective,/ˈbɛllo/,N/A,Describes something attractive or pleasing,carino; attraente,Il giardino è bello e mi piace camminare lì ogni giorno.,The garden is beautiful and I like to walk there every day.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,621377599185
bene,well; fine,adverb,/ˈbɛne/,N/A,Indicates something done in a good manner,N/A,Sto bene e voglio uscire a camminare con l'amico.,I am well and I want to go out walking with my friend.,Common Words,Italian::A1::Vocab::Common Words,536995933597,804813140998
bevanda/bibita,drink; beverage,noun,/beˈvanda/ /ˈbibita/,feminine,A liquid for drinking; bibita often refers to soft drinks,N/A,Vuoi comprare una bevanda fredda al bar adesso?,Do you want to buy a cold drink at the bar now?,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,296281281943
bianco,white,adjective,/ˈbjanko/,N/A,The lightest color; the color of snow or milk,N/A,Il gatto bianco dorme dentro la casa vicino alla porta.,The white cat sleeps inside the house near the door.,Colors,Italian::A1::Vocab::Colors,673869190564,534346418116
biondo,blond,adjective,/ˈbjondo/,N/A,Describes light-colored hair; fair-haired,N/A,La bambina bionda ha gli occhi azzurri e un bel viso.,The blond girl has blue eyes and a beautiful face.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,478303815740
bicchiere,glass; drinking glass,noun,/bikˈkjɛre/,masculine,A container for drinking liquids,tazza,Prendo un bicchiere di acqua fredda perché ho sete.,I take a glass of cold water because I am thirsty.,Home,Italian::A1::Vocab::Home,692027528045,295057912287
bicicletta,bicycle,noun,/bitʃiˈkletta/,feminine,A two-wheeled vehicle powered by pedaling,bici,Guido la bicicletta nel parco e mi piace molto.,I ride the bicycle in the park and I like it a lot.,Transportation,Italian::A1::Vocab::Transportation,845656063355,939151525661
biglietto,ticket,noun,/biʎˈʎetto/,masculine,A piece of paper granting entry or travel,N/A,Devo comprare un biglietto per prendere l'autobus domani.,I need to buy a ticket to take the bus tomorrow.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,99506011998
birra,beer,noun,/ˈbirra/,feminine,An alcoholic drink made from grain and hops,N/A,Voglio bere una birra fredda al bar con gli amici.,I want to drink a cold beer at the bar with friends.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,329721325781
biscotto,cookie; biscuit,noun,/bisˈkɔtto/,masculine,A small baked sweet snack,N/A,Il bambino mangia un biscotto dolce con un bicchiere di latte.,The child eats a sweet cookie with a glass of milk.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,439182718105
bisogno,need,noun,/biˈzoɲɲo/,masculine,A requirement or necessity; often used in 'ho bisogno di',necessità,Ho bisogno di aiuto per studiare l'italiano a casa.,I need help to study Italian at home.,Common Words,Italian::A1::Vocab::Common Words,536995933597,1071450686820
blu,blue,adjective,/ˈblu/,N/A,A dark blue color; does not change form for gender/number,N/A,Indosso un abito blu per andare al ballo stasera.,I wear a blue outfit to go to the dance tonight.,Colors,Italian::A1::Vocab::Colors,673869190564,238705717691
bocca,mouth,noun,/ˈbokka/,feminine,The opening in the face used for eating and speaking,N/A,Apro la bocca per mangiare la banana e il biscotto.,I open my mouth to eat the banana and the cookie.,Body,Italian::A1::Vocab::Body,315135916940,531383362913
borsa,bag; purse,noun,/ˈborsa/,feminine,A container carried by hand for personal items,borsetta; sacca,Metto il libro e il telefono nella borsa ogni mattina.,I put the book and the phone in the bag every morning.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,232944906255
braccio,arm,noun,/ˈbrattʃo/,masculine,The upper limb of the human body,N/A,Mi fa male il braccio e devo andare dal dottore.,My arm hurts and I need to go to the doctor.,Body,Italian::A1::Vocab::Body,315135916940,378910030630
bravo,good; clever,adjective,/ˈbravo/,N/A,Describes someone skilled or well-behaved,capace; abile,Lo studente è molto bravo e studia bene ogni giorno.,The student is very good and studies well every day.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,594382486446
buongiorno,good morning; hello,interjection,/bwonˈdʒorno/,N/A,A formal greeting used during the morning and daytime,salve,Dico buongiorno alla signora quando entro nel negozio.,I say good morning to the lady when I enter the shop.,Greetings,Italian::A1::Vocab::Greetings,1034816950214,80514676527
buon pomeriggio,good afternoon,interjection,/bwɔn pomeˈriddʒo/,N/A,A greeting used during the afternoon hours,N/A,Buon pomeriggio! Vuoi prendere un caffè al bar insieme?,Good afternoon! Do you want to get a coffee at the bar together?,Greetings,Italian::A1::Vocab::Greetings,1034816950214,727745984776
buonanotte,goodnight,interjection,/bwɔnaˈnɔtte/,N/A,A farewell greeting used before going to sleep at night,N/A,Dico buonanotte alla famiglia e vado a dormire adesso.,I say goodnight to the family and go to sleep now.,Greetings,Italian::A1::Vocab::Greetings,1034816950214,949950264717
buonasera,good evening,interjection,/bwɔnaˈsera/,N/A,A greeting used in the evening hours,N/A,"Buonasera signora, vuole entrare e sedersi al bar?","Good evening ma'am, do you want to come in and sit at the bar?",Greetings,Italian::A1::Vocab::Greetings,1034816950214,849346160037
buono,good,adjective,/ˈbwɔno/,N/A,Describes something of quality or pleasant taste,bravo; ottimo,Questo cibo è molto buono e mi piace mangiare qui.,This food is very good and I like to eat here.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,504382944377
burro,butter,noun,/ˈburro/,masculine,A dairy product used in cooking and on bread,N/A,Metto il burro sul pane ogni mattina per colazione.,I put butter on the bread every morning for breakfast.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,662583195897
caffè,coffee,noun,/kafˈfɛ/,masculine,A popular Italian beverage made from roasted beans,N/A,Prendo un caffè caldo al bar ogni mattina prima di lavorare.,I get a hot coffee at the bar every morning before working.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,976226525407
calcio,soccer; football,noun,/ˈkaltʃo/,masculine,The most popular sport in Italy; played with a ball,football,Mi piace giocare a calcio nel parco con gli amici.,I like to play soccer in the park with friends.,Sports,Italian::A1::Vocab::Sports,616396548408,609672946494
caldo,hot; warm,adjective,/ˈkaldo/,N/A,Describes high temperature; opposite of 'freddo',N/A,In agosto fa molto caldo e voglio bere acqua fredda.,In August it is very hot and I want to drink cold water.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,904921936668
calza,sock; stocking,noun,/ˈkaltsa/,feminine,A piece of clothing worn on the foot inside a shoe,N/A,Indosso le calze bianche con le scarpe per uscire.,I wear white socks with shoes to go out.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,873593570414
camera,room,noun,/ˈkamera/,feminine,A room in a house or hotel,stanza,La camera dell'albergo è grande e molto bella.,The hotel room is big and very beautiful.,Home,Italian::A1::Vocab::Home,692027528045,604214277182
camera da letto,bedroom,noun,/ˈkamera da ˈlɛtto/,feminine,The room in a house where one sleeps,stanza da letto,La camera da letto è vicino al bagno nella casa.,The bedroom is near the bathroom in the house.,Home,Italian::A1::Vocab::Home,692027528045,212584504330
cameriera,waitress,noun,/kameˈrjɛra/,feminine,A woman who serves food and drinks at a restaurant,N/A,La cameriera porta il caffè e il biscotto al tavolo.,The waitress brings the coffee and the cookie to the table.,People,Italian::A1::Vocab::People,1054905778847,987381038532
cameriere,waiter,noun,/kameˈrjɛre/,masculine,A man who serves food and drinks at a restaurant,N/A,Il cameriere chiede cosa vogliamo mangiare al ristorante.,The waiter asks what we want to eat at the restaurant.,People,Italian::A1::Vocab::People,1054905778847,616689337666
camicia,shirt,noun,/kaˈmitʃa/,feminine,A piece of clothing with buttons worn on the upper body,N/A,Indosso una camicia bianca e un abito blu per il ballo.,I wear a white shirt and a blue suit for the dance.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,118797160538
cane,dog,noun,/ˈkane/,masculine,A common domestic animal; a popular pet,N/A,Il mio cane è un animale domestico e lo amo molto.,My dog is a pet and I love it very much.,Animals,Italian::A1::Vocab::Animals,209387501967,289156998985
canzone,song,noun,/kanˈtsone/,feminine,A piece of music with words that you can sing,brano; pezzo,Ascolto una canzone bella e comincio a cantare con amore.,I listen to a beautiful song and start to sing with love.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,648313609722
capelli,hair,noun,/kaˈpelli/,masculine plural,The hair on a person's head; always used in plural,N/A,La bambina ha i capelli biondi e lunghi e gli occhi azzurri.,The girl has long blond hair and blue eyes.,Body,Italian::A1::Vocab::Body,315135916940,1043401072971
cappello,hat,noun,/kapˈpɛllo/,masculine,A covering worn on the head,N/A,Metto il cappello perché fuori fa molto freddo in inverno.,I put on the hat because outside it is very cold in winter.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,144797262777
cappuccino,cappuccino,noun,/kapputˈtʃino/,masculine,An Italian coffee drink with steamed milk foam,N/A,Prendo un cappuccino caldo al bar ogni mattina con un biscotto.,I get a hot cappuccino at the bar every morning with a cookie.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,1040085920272
carne,meat,noun,/ˈkarne/,feminine,Animal flesh used as food,N/A,Voglio cucinare la carne con le patate per la cena.,I want to cook the meat with potatoes for dinner.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,84872003037
caro,dear; expensive,adjective,/ˈkaro/,N/A,Describes someone beloved or something costly,costoso,Questo albergo è troppo caro e non posso pagare tanto.,This hotel is too expensive and I cannot pay that much.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,301829713730
carta,paper; card,noun,/ˈkarta/,feminine,A thin material for writing; also means a playing card,foglio,Scrivo una lettera sulla carta con la penna per l'amico.,I write a letter on paper with the pen for my friend.,Education,Italian::A1::Vocab::Education,307004269861,55080919125
casa,house; home,noun,/ˈkasa/,feminine,The place where a person lives,abitazione; dimora,Abito in una casa grande con la mia famiglia e il cane.,I live in a big house with my family and the dog.,Home,Italian::A1::Vocab::Home,692027528045,1077786563405
castano,brown (hair),adjective,/kasˈtano/,N/A,Describes chestnut-brown colored hair,N/A,L'uomo ha i capelli castani e gli occhi verdi e belli.,The man has brown hair and beautiful green eyes.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,736829101208
cattivo,bad; naughty,adjective,/katˈtivo/,N/A,Describes something of poor quality or bad behavior,brutto; pessimo,Il tempo è cattivo oggi e non posso uscire a camminare.,The weather is bad today and I cannot go out walking.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,439130828892
cavallo,horse,noun,/kaˈvallo/,masculine,A large animal used for riding,N/A,Mi piace cavalcare il cavallo nella fattoria in campagna.,I like to ride the horse on the farm in the countryside.,Animals,Italian::A1::Vocab::Animals,209387501967,552351582616
cellulare,cell phone,noun,/tʃelluˈlare/,masculine,A portable telephone; a mobile phone,telefono; smartphone,Uso il cellulare per telefonare al mio amico ogni sera.,I use the cell phone to call my friend every evening.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,394935011394
cena,dinner,noun,/ˈtʃena/,feminine,The main evening meal,N/A,La cena è pronta e la famiglia mangia insieme a casa.,Dinner is ready and the family eats together at home.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,950276386264
chi,who,pronoun,/ki/,N/A,An interrogative pronoun used to ask about a person,N/A,Chi vuole venire al cinema con me e l'amico stasera?,Who wants to come to the cinema with me and my friend tonight?,Common Words,Italian::A1::Vocab::Common Words,536995933597,881560079516
chiamata,call; phone call,noun,/kjaˈmata/,feminine,The act of calling someone by phone,telefonata,Faccio una chiamata al dottore per prendere un appuntamento domani.,I make a call to the doctor to make an appointment tomorrow.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,967091162054
chiave,key,noun,/ˈkjave/,feminine,A metal object used to open a lock or door,N/A,Cerco la chiave della casa nella borsa ma non la trovo.,I look for the house key in the bag but I cannot find it.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,457228310323
chitarra,guitar,noun,/kiˈtarra/,feminine,A stringed musical instrument played with the hands,N/A,Mi piace suonare la chitarra e cantare una bella canzone.,I like to play the guitar and sing a beautiful song.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,703546603200
chiuso,closed,adjective,/ˈkjuzo/,N/A,Not open; shut or locked; opposite of 'aperto',N/A,Il negozio è chiuso adesso e devo aspettare fino a domani.,The shop is closed now and I must wait until tomorrow.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,196643465230
ciao,hi; bye,interjection,/ˈtʃao/,N/A,An informal greeting for hello or goodbye,N/A,Ciao amico! Vuoi venire a casa mia per mangiare insieme?,Hi friend! Do you want to come to my house to eat together?,Greetings,Italian::A1::Vocab::Greetings,1034816950214,938734625724
ciascuno,each; every one,pronoun,/tʃasˈkuno/,N/A,Refers to every individual person or thing in a group,ognuno,Ciascuno studente deve leggere il libro per la classe domani.,Each student must read the book for the class tomorrow.,Common Words,Italian::A1::Vocab::Common Words,536995933597,572667512449
cibo,food,noun,/ˈtʃibo/,masculine,Things that people eat for nourishment,alimento,Il cibo al ristorante è buono e non costa molto.,The food at the restaurant is good and does not cost much.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,882590827932
cinema,cinema; movie theater,noun,/ˈtʃinema/,masculine,A place where movies are shown,N/A,Andiamo al cinema per vedere un film nuovo con gli amici.,We go to the cinema to see a new movie with friends.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,858523426040
cinque,five,numeral,/ˈtʃiŋkwe/,N/A,The number five,N/A,Ho cinque amici e andiamo insieme al parco ogni sabato.,I have five friends and we go together to the park every Saturday.,Numbers,Italian::A1::Vocab::Numbers,381389947441,233272628370
cioccolato,chocolate,noun,/tʃokkoˈlato/,masculine,A sweet food made from cacao beans,N/A,Voglio mangiare un biscotto al cioccolato con il cappuccino caldo.,I want to eat a chocolate cookie with the hot cappuccino.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,132933386588
città,city,noun,/tʃitˈta/,feminine,A large town with many people and buildings,centro urbano,Abito in una città grande con molte strade e negozi belli.,I live in a big city with many streets and nice shops.,Places,Italian::A1::Vocab::Places,439811229925,380442724291
classe,class; classroom,noun,/ˈklasse/,feminine,A group of students or the room where they study,aula; lezione,La classe è grande e lo studente studia bene con l'insegnante.,The classroom is big and the student studies well with the teacher.,Education,Italian::A1::Vocab::Education,307004269861,219310024051
cognome,surname; last name,noun,/koɲˈɲome/,masculine,The family name shared by members of a family,N/A,Il mio cognome è italiano e mi chiamo come mio padre.,My surname is Italian and I am named like my father.,People,Italian::A1::Vocab::People,1054905778847,511065899516
colazione,breakfast,noun,/kolatˈtsjone/,feminine,The first meal of the day eaten in the morning,N/A,Per colazione mangio un biscotto e bevo un caffè al bar.,For breakfast I eat a cookie and drink a coffee at the bar.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,491490874186
colore,color,noun,/koˈlore/,masculine,The visual property of objects like red or blue,N/A,Quale colore ti piace di più? Il rosso o l'azzurro?,Which color do you like more? Red or light blue?,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,632227849570
coltello,knife,noun,/kolˈtɛllo/,masculine,A cutting tool used for eating or in the kitchen,N/A,Uso il coltello per tagliare la carne e il pane.,I use the knife to cut the meat and the bread.,Home,Italian::A1::Vocab::Home,692027528045,358190124451
come,how; like; as,adverb,/ˈkome/,N/A,Used to ask in what way or to make comparisons,N/A,Come stai? Sto bene e voglio uscire a camminare adesso.,How are you? I am well and I want to go out walking now.,Common Words,Italian::A1::Vocab::Common Words,536995933597,743314566522
compiti,homework,noun,/ˈkompiti/,masculine plural,School assignments to complete at home,N/A,Devo fare i compiti di italiano e poi posso giocare fuori.,I must do the Italian homework and then I can play outside.,Education,Italian::A1::Vocab::Education,307004269861,155736590060
compleanno,birthday,noun,/kompleˈanno/,masculine,The anniversary of the day a person was born,N/A,Oggi è il mio compleanno e la famiglia fa una bella festa.,Today is my birthday and the family has a nice party.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,1022827499064
computer,computer,noun,/komˈpjuter/,masculine,An electronic device for working and communicating,N/A,Uso il computer per scrivere una e-mail al mio amico.,I use the computer to write an e-mail to my friend.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,657009121391
conversazione,conversation,noun,/konversatˈtsjone/,feminine,A talk between two or more people,dialogo; discorso,La conversazione con l'amico è bella e parliamo molto insieme.,The conversation with my friend is nice and we talk a lot together.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,364800691111
corpo,body,noun,/ˈkɔrpo/,masculine,The physical structure of a person or animal,N/A,Il corpo ha due braccia e due gambe e una testa.,The body has two arms and two legs and a head.,Body,Italian::A1::Vocab::Body,315135916940,545085525008
corretto,correct; right,adjective,/korˈrɛtto/,N/A,Describes something that is accurate or proper,giusto; esatto,La risposta dello studente è corretta e l'insegnante è contento.,The student's answer is correct and the teacher is happy.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,763121634896
corso,course; class,noun,/ˈkorso/,masculine,A series of lessons on a particular subject,lezione,Faccio un corso di italiano all'università per imparare bene.,I take an Italian course at the university to learn well.,Education,Italian::A1::Vocab::Education,307004269861,695964312822
corto,short (length),adjective,/ˈkorto/,N/A,Describes something not long in length; opposite of 'lungo',breve,La donna ha i capelli corti e castani e un bel viso.,The woman has short brown hair and a beautiful face.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,576377038337
cosa,thing; what,noun,/ˈkɔsa/,feminine,An object or item; also used to ask 'what',oggetto,Cosa vuoi fare adesso? Voglio andare al cinema con te.,What do you want to do now? I want to go to the cinema with you.,Common Words,Italian::A1::Vocab::Common Words,536995933597,908279144572
cucina,kitchen,noun,/kuˈtʃina/,feminine,The room where food is prepared and cooked,N/A,Cucino la cena nella cucina con la mia famiglia ogni sera.,I cook dinner in the kitchen with my family every evening.,Home,Italian::A1::Vocab::Home,692027528045,741128923472
cuoco,cook; chef,noun,/ˈkwɔko/,masculine,A person who prepares food professionally,chef,Il cuoco del ristorante cucina la carne e la pasta molto bene.,The restaurant chef cooks the meat and pasta very well.,People,Italian::A1::Vocab::People,1054905778847,786435382450
data,date,noun,/ˈdata/,feminine,A specific day of the month or year,N/A,Quale è la data del tuo compleanno? Il cinque di aprile.,What is the date of your birthday? The fifth of April.,Time,Italian::A1::Vocab::Time,781073502550,326530553734
