
fare,to do,faccio,fai,fa,facciamo,fate,fanno,True,
fermare,to stop,fermo,fermi,ferma,fermiamo,fermate,fermano,True,
finire,to finish,finisco,finisci,finisce,finiamo,finite,finiscono,True,
fumare,to smoke,fumo,fumi,fuma,fumiamo,fumate,fumano,True,
giocare,to play,gioco,giochi,gioca,giochiamo,giocate,giocano,True,
guardare,to look at,guardo,guardi,guarda,guardiamo,guardate,guardano,True,
guidare,to guide,guido,guidi,guida,guidiamo,guidate,guidano,True,
imparare,to learn,imparo,impari,impara,impariamo,imparate,imparano,True,
incontrare,to meet,incontro,incontri,incontra,incontriamo,incontrate,incontrano,True,
indossare,to put on,indosso,indossi,indossa,indossiamo,indossate,indossano,True,
iniziare,to begin,inizio,inizi,inizia,iniziamo,iniziate,iniziano,True,
insegnare,to teach,insegno,insegni,insegna,insegniamo,insegnate,insegnano,True,
inviare,to send,invio,invii,invia,inviamo,inviate,inviano,True,
invitare,to invite,invito,inviti,invita,invitiamo,invitate,invitano,True,
lasciare,to leave,lascio,lasci,lascia,lasciamo,lasciate,lasciano,True,
lavare,to wash,lavo,lavi,lava,laviamo,lavate,lavano,True,
lavorare,to work,lavoro,lavori,lavora,lavoriamo,lavorate,lavorano,True,
leggere,to read,leggo,leggi,legge,leggiamo,leggete,leggono,True,
mandare,to send,mando,mandi,manda,mandiamo,mandate,mandano,True,
mangiare,to eat,mangio,mangi,mangia,mangiamo,mangiate,mangiano,True,
mettere,to put,metto,metti,mette,mettiamo,mettete,mettono,True,
morire,to die,muoio,muori,muore,moriamo,morite,muoiono,True,
mostrare,to show,mostro,mostri,mostra,mostriamo,mostrate,mostrano,True,
nuotare,to swim,nuoto,nuoti,nuota,nuotiamo,nuotate,nuotano,True,
ottenere,to obtain,ottengo,ottieni,ottiene,otteniamo,ottenete,ottengono,True,
pagare,to pay,pago,paghi,paga,paghiamo,pagate,pagano,True,
parcheggiare,to park,parcheggio,parcheggi,parcheggia,parcheggiamo,parcheggiate,parcheggiano,True,
parlare,to talk,parlo,parli,parla,parliamo,parlate,parlano,True,
partire,to depart,parto,parti,parte,partiamo,partite,partono,True,
pensare,to think,penso,pensi,pensa,pensiamo,pensate,pensano,True,
piacere,to be fond of,piaccio,piaci,piace,piacciamo,piacete,piacciono,True,
piovere,to rain,—,—,piove,—,—,piovono,False,
portare,to bring,porto,porti,porta,portiamo,portate,portano,True,
potere,to be able,posso,puoi,può,possiamo,potete,possono,False,
pranzare,to lunch,pranzo,pranzi,pranza,pranziamo,pranzate,pranzano,True,
prendere,to take,prendo,prendi,prende,prendiamo,prendete,prendono,True,
preoccuparsi,to do,mi preoccupo,ti preoccupi,si preoccupa,ci preoccupiamo,vi preoccupate,si preoccupano,False,
pulire,to clean,pulisco,pulisci,pulisce,puliamo,pulite,puliscono,True,
ricordare,to remember,ricordo,ricordi,ricorda,ricordiamo,ricordate,ricordano,True,
ridere,to laugh,rido,ridi,ride,ridiamo,ridete,ridono,True,
rispondere,to answer,rispondo,rispondi,risponde,rispondiamo,rispondete,rispondono,True,
scegliere,to choose,scelgo,scegli,sceglie,scegliamo,scegliete,scelgono,True,
scrivere,to write,scrivo,scrivi,scrive,scriviamo,scrivete,scrivono,True,
scusarsi,to do,mi scuso,ti scusi,si scusa,ci scusiamo,vi scusate,si scusano,False,
sedersi,to do,mi siedo,ti siedi,si siede,ci sediamo,vi sedete,si siedono,False,
sentire,to feel,sento,senti,sente,sentiamo,sentite,sentono,True,
stare,to stay,sto,stai,sta,stiamo,state,stanno,True,
studiare,to study,studio,studi,studia,studiamo,studiate,studiano,True,
suonare,to play,suono,suoni,suona,suoniamo,suonate,suonano,True,
svegliarsi,to do,mi sveglio,ti svegli,si sveglia,ci svegliamo,vi svegliate,si svegliano,False,
telefonare,to telephone,telefono,telefoni,telefona,telefoniamo,telefonate,telefonano,True,
uscire,to go out,esco,esci,esce,usciamo,uscite,escono,True,
usare,to use something,uso,usi,usa,usiamo,usate,usano,True,
vedere,to see,vedo,vedi,vede,vediamo,vedete,vedono,True,
venire,to come,vengo,vieni,viene,veniamo,venite,vengono,True,
viaggiare,to fly,viaggio,viaggi,viaggia,viaggiamo,viaggiate,viaggiano,True,
visitare,to visit,visito,visiti,visita,visitiamo,visitate,visitano,True,
vivere,to live,vivo,vivi,vive,viviamo,vivete,vivono,True,
volare,to fly,volo,voli,vola,voliamo,volate,volano,True,
volere,to want,voglio,vuoi,vuole,vogliamo,volete,vogliono,True,
