fumare,to smoke,fumo,I smoke,fumi,you smoke,fuma,he/she/it smokes,fumiamo,we smoke,fumate,you all smoke,fumano,they smoke,
giocare,to play,gioco,I play,giochi,you play,gioca,he/she/it plays,giochiamo,we play,giocate,you all play,giocano,they play,
guardare,to look at,guardo,I look at,guardi,you look at,guarda,he/she/it looks at,guardiamo,we look at,guardate,you all look at,guardano,they look at,
guidare,to guide,guido,I guide,guidi,you guide,guida,he/she/it guides,guidiamo,we guide,guidate,you all guide,guidano,they guide,
imparare,to learn,imparo,I learn,impari,you learn,impara,he/she/it learns,impariamo,we learn,imparate,you all learn,imparano,they learn,
incontrare,to meet,incontro,I meet,incontri,you meet,incontra,he/she/it meets,incontriamo,we meet,incontrate,you all meet,incontrano,they meet,
indossare,to put on,indosso,I put on,indossi,you put on,indossa,he/she/it puts on,indossiamo,we put on,indossate,you all put on,indossano,they put on,
iniziare,to begin,inizio,I begin,inizi,you begin,inizia,he/she/it begins,iniziamo,we begin,iniziate,you all begin,iniziano,they begin,
insegnare,to teach,insegno,I teach,insegni,you teach,insegna,he/she/it teaches,insegniamo,we teach,insegnate,you all teach,insegnano,they teach,
inviare,to send,invio,I send,invii,you send,invia,he/she/it sends,inviamo,we send,inviate,you all send,inviano,they send,
invitare,to invite,invito,I invite,inviti,you invite,invita,he/she/it invites,invitiamo,we invite,invitate,you all invite,invitano,they invite,
lasciare,to leave,lascio,I leave,lasci,you leave,lascia,he/she/it leaves,lasciamo,we leave,lasciate,you all leave,lasciano,they leave,
lavare,to wash,lavo,I wash,lavi,you wash,lava,he/she/it washes,laviamo,we wash,lavate,you all wash,lavano,they wash,
lavorare,to work,lavoro,I work,lavori,you work,lavora,he/she/it works,lavoriamo,we work,lavorate,you all work,lavorano,they work,
leggere,to read,leggo,I read,leggi,you read,legge,he/she/it reads,leggiamo,we read,leggete,you all read,leggono,they read,
mandare,to send,mando,I send,mandi,you send,manda,he/she/it sends,mandiamo,we send,mandate,you all send,mandano,they send,
mangiare,to eat,mangio,I eat,mangi,you eat,mangia,he/she/it eats,mangiamo,we eat,mangiate,you all eat,mangiano,they eat,
mettere,to put,metto,I put,metti,you put,mette,he/she/it puts,mettiamo,we put,mettete,you all put,mettono,they put,
morire,to die,muoio,I die,muori,you die,muore,he/she/it dies,moriamo,we die,morite,you all die,muoiono,they die,
mostrare,to show,mostro,I show,mostri,you show,mostra,he/she/it shows,mostriamo,we show,mostrate,you all show,mostrano,they show,
nuotare,to swim,nuoto,I swim,nuoti,you swim,nuota,he/she/it swims,nuotiamo,we swim,nuotate,you all swim,nuotano,they swim,
ottenere,to obtain,ottengo,I obtain,ottieni,you obtain,ottiene,he/she/it obtains,otteniamo,we obtain,ottenete,you all obtain,ottengono,they obtain,
pagare,to pay,pago,I pay,paghi,you pay,paga,he/she/it pays,paghiamo,we pay,pagate,you all pay,pagano,they pay,
parcheggiare,to park,parcheggio,I park,parcheggi,you park,parcheggia,he/she/it parks,parcheggiamo,we park,parcheggiate,you all park,parcheggiano,they park,
parlare,to talk,parlo,I talk,parli,you talk,parla,he/she/it talks,parliamo,we talk,parlate,you all talk,parlano,they talk,
partire,to depart,parto,I depart,parti,you depart,parte,he/she/it departs,partiamo,we depart,partite,you all depart,partono,they depart,
pensare,to think,penso,I think,pensi,you think,pensa,he/she/it thinks,pensiamo,we think,pensate,you all think,pensano,they think,
piacere,to be fond of,piaccio,I am fond of,piaci,you are fond of,piace,he/she/it is fond of,piacciamo,we are fond of,piacete,you all are fond of,piacciono,they are fond of,
piovere,to rain,—,I rain,—,you rain,piove,he/she/it rains,—,we rain,—,you all rain,piovono,they rain,
portare,to bring,porto,I bring,porti,you bring,porta,he/she/it brings,portiamo,we bring,portate,you all bring,portano,they bring,
potere,to be able,posso,I can,puoi,you can,può,he/she/it can,possiamo,we can,potete,you all can,possono,they can,
pranzare,to lunch,pranzo,I lunch,pranzi,you lunch,pranza,he/she/it lunches,pranziamo,we lunch,pranzate,you all lunch,pranzano,they lunch,
prendere,to take,prendo,I take,prendi,you take,prende,he/she/it takes,prendiamo,we take,prendete,you all take,prendono,they take,
preoccuparsi,to do,mi preoccupo,I do,ti preoccupi,you do,si preoccupa,he/she/it does,ci preoccupiamo,we do,vi preoccupate,you all do,si preoccupano,they do,
pulire,to clean,pulisco,I clean,pulisci,you clean,pulisce,he/she/it cleans,puliamo,we clean,pulite,you all clean,puliscono,they clean,
ricordare,to remember,ricordo,I remember,ricordi,you remember,ricorda,he/she/it remembers,ricordiamo,we remember,ricordate,you all remember,ricordano,they remember,
ridere,to laugh,rido,I laugh,ridi,you laugh,ride,he/she/it laughs,ridiamo,we laugh,ridete,you all laugh,ridono,they laugh,
rispondere,to answer,rispondo,I answer,rispondi,you answer,risponde,he/she/it answers,rispondiamo,we answer,rispondete,you all answer,rispondono,they answer,
scegliere,to choose,scelgo,I choose,scegli,you choose,sceglie,he/she/it chooses,scegliamo,we choose,scegliete,you all choose,scelgono,they choose,
scrivere,to write,scrivo,I write,scrivi,you write,scrive,he/she/it writes,scriviamo,we write,scrivete,you all write,scrivono,they write,
scusarsi,to do,mi scuso,I do,ti scusi,you do,si scusa,he/she/it does,ci scusiamo,we do,vi scusate,you all do,si scusano,they do,
sedersi,to do,mi siedo,I do,ti siedi,you do,si siede,he/she/it does,ci sediamo,we do,vi sedete,you all do,si siedono,they do,
sentire,to feel,sento,I feel,senti,you feel,sente,he/she/it feels,sentiamo,we feel,sentite,you all feel,sentono,they feel,
stare,to stay,sto,I stay,stai,you stay,sta,he/she/it stays,stiamo,we stay,state,you all stay,stanno,they stay,
studiare,to study,studio,I study,studi,you study,studia,he/she/it studies,studiamo,we study,studiate,you all study,studiano,they study,
suonare,to play,suono,I play,suoni,you play,suona,he/she/it plays,suoniamo,we play,suonate,you all play,suonano,they play,
svegliarsi,to do,mi sveglio,I do,ti svegli,you do,si sveglia,he/she/it does,ci svegliamo,we do,vi svegliate,you all do,si svegliano,they do,
telefonare,to telephone,telefono,I telephone,telefoni,you telephone,telefona,he/she/it telephones,telefoniamo,we telephone,telefonate,you all telephone,telefonano,they telephone,
uscire,to go out,esco,I go out,esci,you go out,esce,he/she/it goes out,usciamo,we go out,uscite,you all go out,escono,they go out,
usare,to use something,uso,I use something,usi,you use something,usa,he/she/it uses something,usiamo,we use something,usate,you all use something,usano,they use something,
vedere,to see,vedo,I see,vedi,you see,vede,he/she/it sees,vediamo,we see,vedete,you all see,vedono,they see,
venire,to come,vengo,I come,vieni,you come,viene,he/she/it comes,veniamo,we come,venite,you all come,vengono,they come,
viaggiare,to fly,viaggio,I fly,viaggi,you fly,viaggia,he/she/it flies,viaggiamo,we fly,viaggiate,you all fly,viaggiano,they fly,
visitare,to visit,visito,I visit,visiti,you visit,visita,he/she/it visits,visitiamo,we visit,visitate,you all visit,visitano,they visit,
vivere,to live,vivo,I live,vivi,you live,vive,he/she/it lives,viviamo,we live,vivete,you all live,vivono,they live,
volare,to fly,volo,I fly,voli,you fly,vola,he/she/it flies,voliamo,we fly,volate,you all fly,volano,they fly,
volere,to want,voglio,I want,vuoi,you want,vuole,he/she/it wants,vogliamo,we want,volete,you all want,vogliono,they want,
